"cardid","readerid","expirationdate","daysleft"
17665,17665,"2021-09-06",-1204
8806,8806,"2021-09-07",-1203
6155,6155,"2021-09-07",-1203
23884,23884,"2021-09-07",-1203
28185,28185,"2021-09-07",-1203
8231,8231,"2021-09-08",-1202
28480,28480,"2021-09-08",-1202
22736,22736,"2021-09-08",-1202
19616,19616,"2021-09-09",-1201
16656,16656,"2021-09-09",-1201
33053,33053,"2021-09-09",-1201
9735,9735,"2021-09-10",-1200
1126,1126,"2021-09-10",-1200
21165,21165,"2021-09-10",-1200
5061,5061,"2021-09-10",-1200
6706,6706,"2021-09-10",-1200
2285,2285,"2021-09-11",-1199
23909,23909,"2021-09-11",-1199
29399,29399,"2021-09-12",-1198
30352,30352,"2021-09-12",-1198
3723,3723,"2021-09-12",-1198
24243,24243,"2021-09-13",-1197
4701,4701,"2021-09-13",-1197
11093,11093,"2021-09-13",-1197
17465,17465,"2021-09-14",-1196
27061,27061,"2021-09-14",-1196
11966,11966,"2021-09-15",-1195
26723,26723,"2021-09-15",-1195
31539,31539,"2021-09-15",-1195
7663,7663,"2021-09-15",-1195
174,174,"2021-09-15",-1195
12021,12021,"2021-09-15",-1195
15954,15954,"2021-09-16",-1194
28597,28597,"2021-09-16",-1194
20927,20927,"2021-09-16",-1194
29225,29225,"2021-09-17",-1193
14124,14124,"2021-09-17",-1193
21209,21209,"2021-09-17",-1193
11393,11393,"2021-09-18",-1192
17069,17069,"2021-09-18",-1192
14355,14355,"2021-09-18",-1192
25194,25194,"2021-09-18",-1192
20194,20194,"2021-09-19",-1191
7009,7009,"2021-09-19",-1191
25581,25581,"2021-09-19",-1191
20650,20650,"2021-09-19",-1191
21413,21413,"2021-09-20",-1190
20093,20093,"2021-09-20",-1190
18162,18162,"2021-09-21",-1189
19398,19398,"2021-09-21",-1189
2568,2568,"2021-09-21",-1189
14029,14029,"2021-09-21",-1189
6736,6736,"2021-09-22",-1188
22513,22513,"2021-09-22",-1188
30066,30066,"2021-09-23",-1187
2245,2245,"2021-09-23",-1187
3884,3884,"2021-09-23",-1187
10766,10766,"2021-09-23",-1187
10878,10878,"2021-09-24",-1186
4362,4362,"2021-09-24",-1186
4008,4008,"2021-09-24",-1186
27471,27471,"2021-09-24",-1186
6837,6837,"2021-09-25",-1185
606,606,"2021-09-25",-1185
16612,16612,"2021-09-25",-1185
24084,24084,"2021-09-26",-1184
1319,1319,"2021-09-26",-1184
14548,14548,"2021-09-26",-1184
16688,16688,"2021-09-26",-1184
16750,16750,"2021-09-27",-1183
24054,24054,"2021-09-27",-1183
29373,29373,"2021-09-27",-1183
22345,22345,"2021-09-27",-1183
13302,13302,"2021-09-27",-1183
26061,26061,"2021-09-27",-1183
26274,26274,"2021-09-28",-1182
9559,9559,"2021-09-28",-1182
978,978,"2021-09-28",-1182
31383,31383,"2021-09-28",-1182
2847,2847,"2021-09-28",-1182
19795,19795,"2021-09-29",-1181
2962,2962,"2021-09-29",-1181
2579,2579,"2021-09-30",-1180
15585,15585,"2021-09-30",-1180
23014,23014,"2021-09-30",-1180
11114,11114,"2021-09-30",-1180
2164,2164,"2021-10-01",-1179
19442,19442,"2021-10-01",-1179
16302,16302,"2021-10-02",-1178
26235,26235,"2021-10-02",-1178
5632,5632,"2021-10-02",-1178
25670,25670,"2021-10-02",-1178
27449,27449,"2021-10-02",-1178
26948,26948,"2021-10-02",-1178
14000,14000,"2021-10-03",-1177
17531,17531,"2021-10-03",-1177
13168,13168,"2021-10-03",-1177
17475,17475,"2021-10-03",-1177
18907,18907,"2021-10-05",-1175
13129,13129,"2021-10-05",-1175
28031,28031,"2021-10-06",-1174
22958,22958,"2021-10-06",-1174
26513,26513,"2021-10-06",-1174
8617,8617,"2021-10-06",-1174
16872,16872,"2021-10-06",-1174
7554,7554,"2021-10-06",-1174
30847,30847,"2021-10-06",-1174
6121,6121,"2021-10-06",-1174
15337,15337,"2021-10-07",-1173
10196,10196,"2021-10-07",-1173
22328,22328,"2021-10-07",-1173
31676,31676,"2021-10-07",-1173
13483,13483,"2021-10-07",-1173
1155,1155,"2021-10-08",-1172
25863,25863,"2021-10-08",-1172
24298,24298,"2021-10-08",-1172
31710,31710,"2021-10-08",-1172
8556,8556,"2021-10-08",-1172
16062,16062,"2021-10-10",-1170
3729,3729,"2021-10-10",-1170
3044,3044,"2021-10-10",-1170
11770,11770,"2021-10-10",-1170
8560,8560,"2021-10-10",-1170
9327,9327,"2021-10-11",-1169
24856,24856,"2021-10-11",-1169
13468,13468,"2021-10-11",-1169
4652,4652,"2021-10-11",-1169
5210,5210,"2021-10-11",-1169
22899,22899,"2021-10-12",-1168
26370,26370,"2021-10-12",-1168
22932,22932,"2021-10-12",-1168
15750,15750,"2021-10-12",-1168
7237,7237,"2021-10-13",-1167
62,62,"2021-10-13",-1167
11030,11030,"2021-10-13",-1167
3971,3971,"2021-10-13",-1167
21292,21292,"2021-10-13",-1167
23220,23220,"2021-10-14",-1166
2255,2255,"2021-10-14",-1166
10635,10635,"2021-10-14",-1166
27874,27874,"2021-10-14",-1166
32316,32316,"2021-10-14",-1166
6727,6727,"2021-10-15",-1165
26499,26499,"2021-10-15",-1165
7305,7305,"2021-10-15",-1165
33212,33212,"2021-10-15",-1165
16581,16581,"2021-10-16",-1164
15294,15294,"2021-10-17",-1163
5873,5873,"2021-10-17",-1163
4829,4829,"2021-10-17",-1163
23662,23662,"2021-10-17",-1163
8837,8837,"2021-10-18",-1162
18112,18112,"2021-10-18",-1162
18036,18036,"2021-10-18",-1162
1807,1807,"2021-10-18",-1162
7154,7154,"2021-10-18",-1162
1801,1801,"2021-10-19",-1161
18165,18165,"2021-10-19",-1161
15063,15063,"2021-10-19",-1161
17212,17212,"2021-10-19",-1161
13303,13303,"2021-10-19",-1161
21177,21177,"2021-10-19",-1161
3117,3117,"2021-10-19",-1161
26605,26605,"2021-10-19",-1161
19766,19766,"2021-10-19",-1161
4511,4511,"2021-10-20",-1160
25495,25495,"2021-10-20",-1160
13056,13056,"2021-10-21",-1159
31989,31989,"2021-10-21",-1159
20344,20344,"2021-10-21",-1159
15983,15983,"2021-10-21",-1159
23152,23152,"2021-10-21",-1159
27642,27642,"2021-10-21",-1159
31540,31540,"2021-10-21",-1159
19996,19996,"2021-10-22",-1158
10781,10781,"2021-10-22",-1158
16065,16065,"2021-10-22",-1158
14523,14523,"2021-10-22",-1158
14834,14834,"2021-10-22",-1158
14718,14718,"2021-10-23",-1157
27346,27346,"2021-10-23",-1157
14300,14300,"2021-10-23",-1157
30432,30432,"2021-10-24",-1156
15232,15232,"2021-10-24",-1156
30546,30546,"2021-10-25",-1155
8056,8056,"2021-10-26",-1154
27254,27254,"2021-10-26",-1154
2068,2068,"2021-10-27",-1153
15614,15614,"2021-10-27",-1153
29991,29991,"2021-10-27",-1153
1720,1720,"2021-10-27",-1153
7694,7694,"2021-10-27",-1153
19124,19124,"2021-10-27",-1153
27207,27207,"2021-10-27",-1153
17689,17689,"2021-10-28",-1152
15815,15815,"2021-10-28",-1152
5434,5434,"2021-10-28",-1152
7403,7403,"2021-10-28",-1152
23565,23565,"2021-10-29",-1151
3976,3976,"2021-10-29",-1151
10677,10677,"2021-10-29",-1151
9085,9085,"2021-10-30",-1150
29804,29804,"2021-10-30",-1150
30740,30740,"2021-10-30",-1150
24197,24197,"2021-10-30",-1150
15933,15933,"2021-10-30",-1150
20217,20217,"2021-10-31",-1149
17644,17644,"2021-10-31",-1149
25619,25619,"2021-10-31",-1149
7381,7381,"2021-10-31",-1149
32279,32279,"2021-11-01",-1148
17084,17084,"2021-11-01",-1148
31983,31983,"2021-11-01",-1148
3674,3674,"2021-11-01",-1148
12806,12806,"2021-11-01",-1148
23866,23866,"2021-11-01",-1148
10805,10805,"2021-11-01",-1148
4014,4014,"2021-11-02",-1147
7076,7076,"2021-11-02",-1147
30884,30884,"2021-11-03",-1146
26191,26191,"2021-11-03",-1146
16551,16551,"2021-11-04",-1145
19470,19470,"2021-11-04",-1145
10206,10206,"2021-11-05",-1144
7391,7391,"2021-11-05",-1144
32235,32235,"2021-11-05",-1144
14039,14039,"2021-11-05",-1144
32910,32910,"2021-11-05",-1144
32504,32504,"2021-11-05",-1144
147,147,"2021-11-05",-1144
106,106,"2021-11-06",-1143
4531,4531,"2021-11-06",-1143
14152,14152,"2021-11-06",-1143
28367,28367,"2021-11-06",-1143
7883,7883,"2021-11-06",-1143
4855,4855,"2021-11-06",-1143
3866,3866,"2021-11-07",-1142
16962,16962,"2021-11-07",-1142
24420,24420,"2021-11-07",-1142
7406,7406,"2021-11-07",-1142
9540,9540,"2021-11-07",-1142
6064,6064,"2021-11-07",-1142
20663,20663,"2021-11-08",-1141
13859,13859,"2021-11-08",-1141
10529,10529,"2021-11-08",-1141
26747,26747,"2021-11-08",-1141
6434,6434,"2021-11-08",-1141
13174,13174,"2021-11-08",-1141
30272,30272,"2021-11-08",-1141
21899,21899,"2021-11-08",-1141
10014,10014,"2021-11-08",-1141
4110,4110,"2021-11-08",-1141
30510,30510,"2021-11-08",-1141
22572,22572,"2021-11-09",-1140
4342,4342,"2021-11-09",-1140
5384,5384,"2021-11-09",-1140
17504,17504,"2021-11-10",-1139
16663,16663,"2021-11-10",-1139
25446,25446,"2021-11-10",-1139
25755,25755,"2021-11-10",-1139
2898,2898,"2021-11-10",-1139
12982,12982,"2021-11-10",-1139
1493,1493,"2021-11-11",-1138
24114,24114,"2021-11-11",-1138
26781,26781,"2021-11-11",-1138
24423,24423,"2021-11-11",-1138
15866,15866,"2021-11-11",-1138
11787,11787,"2021-11-12",-1137
25979,25979,"2021-11-13",-1136
13974,13974,"2021-11-13",-1136
28606,28606,"2021-11-13",-1136
30009,30009,"2021-11-13",-1136
9155,9155,"2021-11-13",-1136
5619,5619,"2021-11-13",-1136
28179,28179,"2021-11-13",-1136
18638,18638,"2021-11-13",-1136
14397,14397,"2021-11-14",-1135
25579,25579,"2021-11-14",-1135
30058,30058,"2021-11-14",-1135
19304,19304,"2021-11-15",-1134
16368,16368,"2021-11-15",-1134
3696,3696,"2021-11-16",-1133
19101,19101,"2021-11-16",-1133
26720,26720,"2021-11-16",-1133
25409,25409,"2021-11-17",-1132
31708,31708,"2021-11-17",-1132
13894,13894,"2021-11-17",-1132
7314,7314,"2021-11-17",-1132
14320,14320,"2021-11-17",-1132
22176,22176,"2021-11-17",-1132
16047,16047,"2021-11-18",-1131
7520,7520,"2021-11-19",-1130
24665,24665,"2021-11-19",-1130
29439,29439,"2021-11-19",-1130
2822,2822,"2021-11-19",-1130
2422,2422,"2021-11-19",-1130
14272,14272,"2021-11-19",-1130
28376,28376,"2021-11-20",-1129
30501,30501,"2021-11-20",-1129
19606,19606,"2021-11-20",-1129
14267,14267,"2021-11-20",-1129
32412,32412,"2021-11-20",-1129
24247,24247,"2021-11-21",-1128
23907,23907,"2021-11-21",-1128
23563,23563,"2021-11-21",-1128
16343,16343,"2021-11-21",-1128
10757,10757,"2021-11-21",-1128
20104,20104,"2021-11-21",-1128
14369,14369,"2021-11-22",-1127
7158,7158,"2021-11-22",-1127
28690,28690,"2021-11-22",-1127
6358,6358,"2021-11-22",-1127
25321,25321,"2021-11-22",-1127
3523,3523,"2021-11-23",-1126
25980,25980,"2021-11-23",-1126
27073,27073,"2021-11-23",-1126
11340,11340,"2021-11-23",-1126
29288,29288,"2021-11-23",-1126
31844,31844,"2021-11-23",-1126
31056,31056,"2021-11-23",-1126
648,648,"2021-11-24",-1125
1994,1994,"2021-11-24",-1125
30965,30965,"2021-11-24",-1125
18657,18657,"2021-11-24",-1125
6351,6351,"2021-11-24",-1125
8786,8786,"2021-11-25",-1124
29748,29748,"2021-11-25",-1124
1049,1049,"2021-11-25",-1124
28564,28564,"2021-11-25",-1124
19370,19370,"2021-11-25",-1124
30292,30292,"2021-11-26",-1123
20942,20942,"2021-11-26",-1123
13029,13029,"2021-11-26",-1123
23515,23515,"2021-11-26",-1123
24070,24070,"2021-11-26",-1123
33075,33075,"2021-11-26",-1123
17858,17858,"2021-11-26",-1123
18561,18561,"2021-11-27",-1122
6125,6125,"2021-11-28",-1121
23666,23666,"2021-11-28",-1121
1964,1964,"2021-11-28",-1121
22683,22683,"2021-11-29",-1120
9320,9320,"2021-11-29",-1120
5255,5255,"2021-11-29",-1120
21541,21541,"2021-11-29",-1120
9041,9041,"2021-11-29",-1120
14125,14125,"2021-11-30",-1119
8347,8347,"2021-11-30",-1119
17412,17412,"2021-12-01",-1118
18930,18930,"2021-12-01",-1118
24582,24582,"2021-12-01",-1118
11149,11149,"2021-12-01",-1118
32994,32994,"2021-12-02",-1117
14666,14666,"2021-12-02",-1117
18229,18229,"2021-12-02",-1117
2086,2086,"2021-12-02",-1117
28331,28331,"2021-12-02",-1117
22774,22774,"2021-12-02",-1117
213,213,"2021-12-02",-1117
31489,31489,"2021-12-02",-1117
21950,21950,"2021-12-02",-1117
29710,29710,"2021-12-02",-1117
19729,19729,"2021-12-02",-1117
21845,21845,"2021-12-03",-1116
1041,1041,"2021-12-03",-1116
14687,14687,"2021-12-03",-1116
14900,14900,"2021-12-04",-1115
14988,14988,"2021-12-04",-1115
20986,20986,"2021-12-04",-1115
10633,10633,"2021-12-04",-1115
13159,13159,"2021-12-04",-1115
26708,26708,"2021-12-05",-1114
33287,33287,"2021-12-05",-1114
28277,28277,"2021-12-05",-1114
25882,25882,"2021-12-06",-1113
2980,2980,"2021-12-06",-1113
10796,10796,"2021-12-06",-1113
17004,17004,"2021-12-06",-1113
2802,2802,"2021-12-06",-1113
1990,1990,"2021-12-06",-1113
19625,19625,"2021-12-07",-1112
32638,32638,"2021-12-07",-1112
7111,7111,"2021-12-07",-1112
1091,1091,"2021-12-07",-1112
4147,4147,"2021-12-08",-1111
8295,8295,"2021-12-08",-1111
18049,18049,"2021-12-08",-1111
9326,9326,"2021-12-08",-1111
288,288,"2021-12-09",-1110
20108,20108,"2021-12-09",-1110
4255,4255,"2021-12-09",-1110
26985,26985,"2021-12-09",-1110
20578,20578,"2021-12-09",-1110
20640,20640,"2021-12-10",-1109
11946,11946,"2021-12-10",-1109
25588,25588,"2021-12-10",-1109
24843,24843,"2021-12-10",-1109
16865,16865,"2021-12-10",-1109
14279,14279,"2021-12-11",-1108
23534,23534,"2021-12-11",-1108
9430,9430,"2021-12-11",-1108
7454,7454,"2021-12-11",-1108
13801,13801,"2021-12-11",-1108
24345,24345,"2021-12-11",-1108
3578,3578,"2021-12-11",-1108
13841,13841,"2021-12-12",-1107
27048,27048,"2021-12-12",-1107
13464,13464,"2021-12-12",-1107
10313,10313,"2021-12-12",-1107
11442,11442,"2021-12-13",-1106
15349,15349,"2021-12-13",-1106
31175,31175,"2021-12-13",-1106
23912,23912,"2021-12-13",-1106
6724,6724,"2021-12-14",-1105
32589,32589,"2021-12-14",-1105
4658,4658,"2021-12-14",-1105
13312,13312,"2021-12-14",-1105
20455,20455,"2021-12-14",-1105
23069,23069,"2021-12-15",-1104
12045,12045,"2021-12-15",-1104
18463,18463,"2021-12-15",-1104
27301,27301,"2021-12-15",-1104
20779,20779,"2021-12-16",-1103
27347,27347,"2021-12-16",-1103
28361,28361,"2021-12-16",-1103
7301,7301,"2021-12-16",-1103
965,965,"2021-12-16",-1103
6405,6405,"2021-12-16",-1103
29237,29237,"2021-12-16",-1103
12677,12677,"2021-12-16",-1103
29058,29058,"2021-12-17",-1102
3891,3891,"2021-12-17",-1102
13432,13432,"2021-12-17",-1102
23417,23417,"2021-12-17",-1102
9749,9749,"2021-12-18",-1101
19744,19744,"2021-12-18",-1101
2755,2755,"2021-12-19",-1100
17046,17046,"2021-12-19",-1100
874,874,"2021-12-20",-1099
27799,27799,"2021-12-20",-1099
811,811,"2021-12-21",-1098
26749,26749,"2021-12-21",-1098
20537,20537,"2021-12-21",-1098
16183,16183,"2021-12-21",-1098
1740,1740,"2021-12-21",-1098
4921,4921,"2021-12-21",-1098
25858,25858,"2021-12-21",-1098
32138,32138,"2021-12-21",-1098
1552,1552,"2021-12-22",-1097
19053,19053,"2021-12-22",-1097
26250,26250,"2021-12-22",-1097
21074,21074,"2021-12-23",-1096
26442,26442,"2021-12-23",-1096
32901,32901,"2021-12-23",-1096
2105,2105,"2021-12-23",-1096
24365,24365,"2021-12-23",-1096
7527,7527,"2021-12-23",-1096
19542,19542,"2021-12-24",-1095
26927,26927,"2021-12-24",-1095
14028,14028,"2021-12-24",-1095
22734,22734,"2021-12-25",-1094
27612,27612,"2021-12-25",-1094
16336,16336,"2021-12-26",-1093
25045,25045,"2021-12-26",-1093
3613,3613,"2021-12-26",-1093
12206,12206,"2021-12-26",-1093
12265,12265,"2021-12-26",-1093
12026,12026,"2021-12-27",-1092
10478,10478,"2021-12-27",-1092
11061,11061,"2021-12-27",-1092
12150,12150,"2021-12-27",-1092
1317,1317,"2021-12-27",-1092
26822,26822,"2021-12-27",-1092
14947,14947,"2021-12-28",-1091
14155,14155,"2021-12-28",-1091
9842,9842,"2021-12-28",-1091
13072,13072,"2021-12-28",-1091
12625,12625,"2021-12-29",-1090
31648,31648,"2021-12-29",-1090
12626,12626,"2021-12-29",-1090
4770,4770,"2021-12-29",-1090
32210,32210,"2021-12-30",-1089
1850,1850,"2021-12-30",-1089
10493,10493,"2021-12-31",-1088
14372,14372,"2021-12-31",-1088
3049,3049,"2021-12-31",-1088
27884,27884,"2021-12-31",-1088
8743,8743,"2021-12-31",-1088
17946,17946,"2022-01-01",-1087
16726,16726,"2022-01-01",-1087
17516,17516,"2022-01-01",-1087
16843,16843,"2022-01-01",-1087
6255,6255,"2022-01-01",-1087
26689,26689,"2022-01-02",-1086
14083,14083,"2022-01-02",-1086
5634,5634,"2022-01-02",-1086
24998,24998,"2022-01-02",-1086
21815,21815,"2022-01-02",-1086
32427,32427,"2022-01-03",-1085
2351,2351,"2022-01-03",-1085
32670,32670,"2022-01-03",-1085
4621,4621,"2022-01-03",-1085
25361,25361,"2022-01-03",-1085
10583,10583,"2022-01-03",-1085
7132,7132,"2022-01-04",-1084
5447,5447,"2022-01-04",-1084
29595,29595,"2022-01-04",-1084
21454,21454,"2022-01-04",-1084
8363,8363,"2022-01-05",-1083
5335,5335,"2022-01-05",-1083
16539,16539,"2022-01-05",-1083
6181,6181,"2022-01-05",-1083
9347,9347,"2022-01-06",-1082
17208,17208,"2022-01-06",-1082
17967,17967,"2022-01-06",-1082
10224,10224,"2022-01-06",-1082
19719,19719,"2022-01-06",-1082
14585,14585,"2022-01-06",-1082
22029,22029,"2022-01-06",-1082
27004,27004,"2022-01-07",-1081
10010,10010,"2022-01-07",-1081
20911,20911,"2022-01-07",-1081
6189,6189,"2022-01-07",-1081
19159,19159,"2022-01-08",-1080
32607,32607,"2022-01-08",-1080
14873,14873,"2022-01-08",-1080
14980,14980,"2022-01-08",-1080
15014,15014,"2022-01-08",-1080
8884,8884,"2022-01-08",-1080
7361,7361,"2022-01-08",-1080
5399,5399,"2022-01-08",-1080
6487,6487,"2022-01-08",-1080
22564,22564,"2022-01-08",-1080
11968,11968,"2022-01-08",-1080
19009,19009,"2022-01-09",-1079
21058,21058,"2022-01-09",-1079
18051,18051,"2022-01-10",-1078
28033,28033,"2022-01-10",-1078
3966,3966,"2022-01-10",-1078
22436,22436,"2022-01-10",-1078
2045,2045,"2022-01-11",-1077
25129,25129,"2022-01-11",-1077
26234,26234,"2022-01-12",-1076
3247,3247,"2022-01-12",-1076
15072,15072,"2022-01-12",-1076
26874,26874,"2022-01-12",-1076
21896,21896,"2022-01-13",-1075
14727,14727,"2022-01-13",-1075
12352,12352,"2022-01-13",-1075
17098,17098,"2022-01-14",-1074
9888,9888,"2022-01-14",-1074
28018,28018,"2022-01-14",-1074
20624,20624,"2022-01-15",-1073
5700,5700,"2022-01-15",-1073
19357,19357,"2022-01-15",-1073
15397,15397,"2022-01-15",-1073
9777,9777,"2022-01-16",-1072
8869,8869,"2022-01-16",-1072
26583,26583,"2022-01-17",-1071
18615,18615,"2022-01-17",-1071
23583,23583,"2022-01-18",-1070
7307,7307,"2022-01-18",-1070
8915,8915,"2022-01-18",-1070
10567,10567,"2022-01-18",-1070
6090,6090,"2022-01-19",-1069
9812,9812,"2022-01-19",-1069
12377,12377,"2022-01-19",-1069
8995,8995,"2022-01-19",-1069
10810,10810,"2022-01-19",-1069
30297,30297,"2022-01-20",-1068
10292,10292,"2022-01-20",-1068
30491,30491,"2022-01-20",-1068
18230,18230,"2022-01-21",-1067
5989,5989,"2022-01-22",-1066
23399,23399,"2022-01-22",-1066
23833,23833,"2022-01-22",-1066
33326,33326,"2022-01-22",-1066
19338,19338,"2022-01-22",-1066
21077,21077,"2022-01-22",-1066
23138,23138,"2022-01-22",-1066
7206,7206,"2022-01-22",-1066
22397,22397,"2022-01-23",-1065
8606,8606,"2022-01-23",-1065
9825,9825,"2022-01-23",-1065
10376,10376,"2022-01-23",-1065
17409,17409,"2022-01-23",-1065
28979,28979,"2022-01-23",-1065
29244,29244,"2022-01-23",-1065
15518,15518,"2022-01-23",-1065
23859,23859,"2022-01-23",-1065
13547,13547,"2022-01-24",-1064
23066,23066,"2022-01-24",-1064
698,698,"2022-01-24",-1064
10542,10542,"2022-01-24",-1064
6766,6766,"2022-01-24",-1064
7042,7042,"2022-01-24",-1064
21373,21373,"2022-01-24",-1064
15162,15162,"2022-01-25",-1063
32992,32992,"2022-01-26",-1062
28049,28049,"2022-01-26",-1062
32213,32213,"2022-01-26",-1062
31196,31196,"2022-01-26",-1062
4970,4970,"2022-01-26",-1062
6251,6251,"2022-01-26",-1062
1732,1732,"2022-01-26",-1062
33269,33269,"2022-01-26",-1062
14444,14444,"2022-01-26",-1062
3257,3257,"2022-01-26",-1062
8103,8103,"2022-01-27",-1061
14064,14064,"2022-01-27",-1061
9174,9174,"2022-01-27",-1061
24990,24990,"2022-01-27",-1061
19896,19896,"2022-01-27",-1061
3825,3825,"2022-01-28",-1060
7585,7585,"2022-01-29",-1059
23435,23435,"2022-01-29",-1059
2576,2576,"2022-01-29",-1059
22171,22171,"2022-01-29",-1059
20506,20506,"2022-01-29",-1059
26005,26005,"2022-01-29",-1059
21217,21217,"2022-01-30",-1058
2110,2110,"2022-01-30",-1058
15436,15436,"2022-01-31",-1057
8632,8632,"2022-01-31",-1057
28618,28618,"2022-01-31",-1057
6238,6238,"2022-01-31",-1057
27787,27787,"2022-01-31",-1057
16161,16161,"2022-01-31",-1057
25847,25847,"2022-02-01",-1056
16295,16295,"2022-02-01",-1056
12726,12726,"2022-02-01",-1056
15047,15047,"2022-02-02",-1055
14660,14660,"2022-02-02",-1055
5572,5572,"2022-02-02",-1055
1698,1698,"2022-02-02",-1055
10545,10545,"2022-02-02",-1055
32608,32608,"2022-02-03",-1054
20365,20365,"2022-02-03",-1054
24765,24765,"2022-02-03",-1054
5044,5044,"2022-02-03",-1054
32717,32717,"2022-02-03",-1054
25762,25762,"2022-02-04",-1053
32915,32915,"2022-02-04",-1053
27901,27901,"2022-02-04",-1053
10423,10423,"2022-02-04",-1053
11074,11074,"2022-02-04",-1053
17747,17747,"2022-02-05",-1052
14716,14716,"2022-02-05",-1052
5031,5031,"2022-02-05",-1052
7108,7108,"2022-02-05",-1052
31124,31124,"2022-02-05",-1052
11510,11510,"2022-02-06",-1051
379,379,"2022-02-06",-1051
1919,1919,"2022-02-06",-1051
7199,7199,"2022-02-07",-1050
979,979,"2022-02-07",-1050
3903,3903,"2022-02-07",-1050
32729,32729,"2022-02-08",-1049
33258,33258,"2022-02-08",-1049
5034,5034,"2022-02-08",-1049
24257,24257,"2022-02-08",-1049
24008,24008,"2022-02-08",-1049
25727,25727,"2022-02-08",-1049
302,302,"2022-02-09",-1048
12499,12499,"2022-02-09",-1048
10477,10477,"2022-02-09",-1048
9385,9385,"2022-02-09",-1048
2510,2510,"2022-02-09",-1048
7760,7760,"2022-02-09",-1048
9321,9321,"2022-02-09",-1048
12876,12876,"2022-02-09",-1048
30482,30482,"2022-02-10",-1047
22599,22599,"2022-02-10",-1047
17205,17205,"2022-02-10",-1047
2816,2816,"2022-02-12",-1045
26304,26304,"2022-02-12",-1045
30888,30888,"2022-02-13",-1044
6882,6882,"2022-02-13",-1044
159,159,"2022-02-13",-1044
32806,32806,"2022-02-13",-1044
32548,32548,"2022-02-14",-1043
30903,30903,"2022-02-14",-1043
16442,16442,"2022-02-14",-1043
31392,31392,"2022-02-14",-1043
16745,16745,"2022-02-14",-1043
16748,16748,"2022-02-14",-1043
14430,14430,"2022-02-14",-1043
5625,5625,"2022-02-14",-1043
2745,2745,"2022-02-15",-1042
25816,25816,"2022-02-15",-1042
29186,29186,"2022-02-15",-1042
27095,27095,"2022-02-15",-1042
11076,11076,"2022-02-15",-1042
7795,7795,"2022-02-16",-1041
13558,13558,"2022-02-16",-1041
7433,7433,"2022-02-16",-1041
12003,12003,"2022-02-16",-1041
11643,11643,"2022-02-16",-1041
17133,17133,"2022-02-16",-1041
19404,19404,"2022-02-17",-1040
1579,1579,"2022-02-17",-1040
33147,33147,"2022-02-17",-1040
3462,3462,"2022-02-18",-1039
19976,19976,"2022-02-18",-1039
30039,30039,"2022-02-19",-1038
8327,8327,"2022-02-19",-1038
27927,27927,"2022-02-19",-1038
23704,23704,"2022-02-20",-1037
24410,24410,"2022-02-20",-1037
588,588,"2022-02-20",-1037
4115,4115,"2022-02-20",-1037
1670,1670,"2022-02-21",-1036
14342,14342,"2022-02-21",-1036
4998,4998,"2022-02-21",-1036
15292,15292,"2022-02-22",-1035
16115,16115,"2022-02-22",-1035
26904,26904,"2022-02-23",-1034
8623,8623,"2022-02-23",-1034
29228,29228,"2022-02-23",-1034
46,46,"2022-02-23",-1034
23577,23577,"2022-02-23",-1034
18582,18582,"2022-02-24",-1033
10661,10661,"2022-02-24",-1033
25450,25450,"2022-02-25",-1032
22369,22369,"2022-02-25",-1032
31646,31646,"2022-02-25",-1032
13575,13575,"2022-02-26",-1031
5636,5636,"2022-02-26",-1031
19751,19751,"2022-02-26",-1031
31346,31346,"2022-02-26",-1031
21631,21631,"2022-02-26",-1031
11645,11645,"2022-02-27",-1030
17831,17831,"2022-02-27",-1030
9890,9890,"2022-02-27",-1030
29863,29863,"2022-02-28",-1029
20510,20510,"2022-02-28",-1029
3068,3068,"2022-03-01",-1028
5516,5516,"2022-03-01",-1028
19605,19605,"2022-03-01",-1028
1803,1803,"2022-03-01",-1028
22920,22920,"2022-03-02",-1027
4368,4368,"2022-03-02",-1027
381,381,"2022-03-02",-1027
5421,5421,"2022-03-02",-1027
24970,24970,"2022-03-03",-1026
21882,21882,"2022-03-03",-1026
13255,13255,"2022-03-03",-1026
17752,17752,"2022-03-03",-1026
8980,8980,"2022-03-04",-1025
26004,26004,"2022-03-04",-1025
16012,16012,"2022-03-04",-1025
17021,17021,"2022-03-04",-1025
10619,10619,"2022-03-04",-1025
31889,31889,"2022-03-05",-1024
26928,26928,"2022-03-05",-1024
20069,20069,"2022-03-05",-1024
7172,7172,"2022-03-05",-1024
22819,22819,"2022-03-05",-1024
28666,28666,"2022-03-06",-1023
5998,5998,"2022-03-06",-1023
16113,16113,"2022-03-06",-1023
19252,19252,"2022-03-06",-1023
25176,25176,"2022-03-07",-1022
18533,18533,"2022-03-07",-1022
3301,3301,"2022-03-07",-1022
24014,24014,"2022-03-07",-1022
27782,27782,"2022-03-07",-1022
7532,7532,"2022-03-07",-1022
29598,29598,"2022-03-07",-1022
5263,5263,"2022-03-08",-1021
17293,17293,"2022-03-08",-1021
4437,4437,"2022-03-08",-1021
22000,22000,"2022-03-08",-1021
18789,18789,"2022-03-09",-1020
13308,13308,"2022-03-09",-1020
32256,32256,"2022-03-09",-1020
21248,21248,"2022-03-09",-1020
20100,20100,"2022-03-09",-1020
